Context,Questions,Correct Answers
Stop adding insult to injury—identifying and managing risk factors for the progression of acute kidney injury in children,5. Mechanistic pathways for future therapies include: a) Oxidative stress b) Cell cycle modification c) Histone deacetylase inhibition d) All of the above,d
The path to chronic kidney disease following acute kidney injury,1. Which of the following mechanisms have been proposed in the progression of CKD following an AKI episode? a) Nephron loss leading to glomerular hyperfiltration b) Tubulointerstitial fibrosis c) Endothelial injury and reduced vascular density d) Maladaptive repair mechanisms including cell cycle disruption and epigenetic changes e) All of the above,e
The path to chronic kidney disease following acute kidney injury,2. Which of the following renal pathology findings have not been identified in premature infants with severe AKI through prior autopsy studies? a) Cystic dilatation of Bowman’s capsule b) Podocyte effacement c) Cystic dilatation of tubules d) Lower glomerular counts compared to term infants,b
The path to chronic kidney disease following acute kidney injury,"3. Outside of albuminuria and a reduced GFR, paediatric observational studies have identified which of the following abnormalities in survivors in neonatal AKI? a) Tubular proteinuria b) Urinary concentrating defects c) Supranormal GFR values indicating potential hyperfiltration d) Hypertension e) All of the above",e
The path to chronic kidney disease following acute kidney injury,4. Which of the following statements is false in regards to defining AKI in neonates a) Defining AKI in neonates is challenging in the first days of life due to the effects of maternal creatinine and a naturally improving GFR b) Existing long term follow-up studies have shown a significant amount of hetereogenity in defining neonatal AKI c) The recently proposed neonatal modified KDIGO definition utilizes an absolute serum creatinine increase of 0.3 mg/dl (26.5 μmol/l) to define AKI within a period of 7 days d) The recently proposed neonatal RIFLE urine output criteria is based on a retrospective study that revealed that Boliguria^ thresholds higher than >0.5 cc/kg/h are associated with mortality,c
The path to chronic kidney disease following acute kidney injury,"5. After an AKI episode in the neonatal period, which of the following children would not be considered as having CKD as per the KDIGO definition (2012): a) A 5-year-old male with a reduced eGFR of 75 ml/min/1.73 m2 with small kidneys on ultrasound for age and size b) A 10-year-old female with an albumin:creatinine ratio of 50 mg/g on a first morning urine×2 and an eGFR of 90 ml/min/1.73 m2 c) A 14-year-old male with an elevated eGFR of 160 ml/min/1.73 m2 with no abnormalities on blood work, urine tests or imaging. d) A 3-year-old female with persistent hypertension with a measured GFR of 90 ml/min/1.73 m2 and no imaging, bloodwork or urine abnormalities. e) c and d",e
Treatment of renal angiomyolipoma in tuberous sclerosis,"1. What yearly follow-up investigations are recommended for a 14-year-old boy with TSC after angiomyolipoma bleeding and partial nephrectomy? a) None b) Abdominal MRI scan, skin check, neurological screening, assessment of renal function, proteinuria, and blood pressure control c) Abdominal MRI scan d) Symptom-oriented investigations only",b
Treatment of renal angiomyolipoma in tuberous sclerosis,"2. A 16-year-old female TSC patient is presenting with two asymptomatic angiomyolipoma, diameter 2 cm in each kidney, and with two renal cysts, diameter 5 cm on the right side. Management: a) No further follow-up b) Nephrectomy right kidney c) Embolization of angiomyolipoma d) MRI scan every 1–3 years, no intervention",d
Treatment of renal angiomyolipoma in tuberous sclerosis,"3. A 22-year-old TSC patient is presenting with an emergency angiomyolipoma bleeding from the right kidney. What is the recommended treatment? a) Embolization (in combination with corticosteroids) if possible, otherwise nephrectomy b) Watch and wait c) Transfusion of red blood cells (RBC) d) Start treatment with everolimus",a
Treatment of renal angiomyolipoma in tuberous sclerosis,"4. Should a 3-year-old child suspected of having TSC undergo the following investigations? a) MRI scan of the brain b) MRI scan of the brain, electroencephalogram (EEG), MRI scan of the abdomen c) MRI scan of the brain, EEG, echocardiogram, and electrocardiogram (ECG) d) MRI scan of the brain and abdomen, EEG, echocardiogram, and ECG, and dermatological and dental exam",d
Treatment of renal angiomyolipoma in tuberous sclerosis,5. What is the leading cause of death in adult TSC patients? a) Myocardial infarction b) Infection c) Epilepsy d) Renal complications,d
"Tubulointerstitial nephritis: diagnosis, treatment, and monitoring","1. Tubulointerstitial dysfunction is often accompanied by electrolyte abnormalities that include: A. Hyperkalemia, hyperchloremia, and metabolic acidosis B. Hyperkalemia, hyponatremia, and metabolic acidosis C. Hypokalemia, hypernatremia, and metabolic alkalosis D. Hypokalemia, hyperchloremia, and metabolic acidosis",A
"Tubulointerstitial nephritis: diagnosis, treatment, and monitoring",2. What is the most common type of uveitis present in patients with TINU syndrome? A. Anterior uveitis B. Posterior uveitis C. Intermediate uveitis D. Panuveitis,A
"Tubulointerstitial nephritis: diagnosis, treatment, and monitoring",3. The most common underlying etiology of TIN is A. TINU syndrome B. Inflammatory bowel disease C. Drug induced D. Infection,C
"Tubulointerstitial nephritis: diagnosis, treatment, and monitoring","4. Regarding drug-induced TIN, which of the following is false? A. TIN can recur after re-exposure to the drug B. Eosinophils are a predominant finding on renal biopsy C. NSAIDs are a common cause for drug-induced TIN D. The risk for drug-induced TIN increases with increasing dose of the drug",D
"Tubulointerstitial nephritis: diagnosis, treatment, and monitoring",5. Which of the following is a low-molecular-weight protein that can be used as a urinary biomarker for diagnosing and monitoring TIN? A. Beta2-microglobulin (B2M) B. Monocyte chemotactic peptide-1 (MCP-1) C. TIN antigen D. Mucin-1,A
An interprofessional approach to managing children with treatment-resistant enuresis,Which of the following is the least likely factor to cause enuresis:  a) Large overnight urine volume b) Poor sleep arousal c) Child’s laziness d) Bladder overactivity e) Low bladder capacity,c
An interprofessional approach to managing children with treatment-resistant enuresis,Which of the following is FALSE about sleep and enuresis:  a) Children with enuresis have difficulty arousing from sleep b) Treating obstructive sleep apnoea may reduce enuresis c) Treating insomnia with melatonin may improve enuresis d) Children are more likely to wet when they are tired e) Reducing sleep time may improve enuresis long term,e
An interprofessional approach to managing children with treatment-resistant enuresis,Which of the following is FALSE about fluids and enuresis:  a) ADH increases overnight urine production b) High fluid intake in the evening increases overnight urine production c) Diabetes insipidus increases overnight urine production d) Overnight feeds increases overnight urine production e) Polyuria increases overnight urine production,a
